username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
Tre,430151102,"University Place, WA",1/24/2023 21:58,@_duhnessuh @oneandonly_tae Nah he annoys me so I skip his videos if they come up on my FYP but that?�s another issu??https://t.co/Y7IUm9OvDN,0,Twitter for iPhone,,,
James ?��,1.01746E+18,"Tacoma, WA",1/24/2023 21:51,@garbagetrash420 Ngl thats better than my standing food tray ?��?��?��,0,Twitter for iPhone,,,
THEE NW Magpie (Kerrygold Consumer For Years),470351587,"Tacoma, WA",1/24/2023 20:05,"@leahbug56 @rickyricksmusic @shell_loyd Yes!!  I have sensory issues with food, and the only way I can eat a soupy??https://t.co/IHFYMrcGwV",1,Twitter Web App,,,
Jon Isaacson,420101199,"Tacoma, WA",1/24/2023 19:35,"Cuban food with an Australian. 

Ashley Easterby https://t.co/UoxRHID2gl",0,Twitter for iPhone,,,
Tacoma News Tribune,8983922,"Tacoma, WA",1/24/2023 19:20,"The man drove up to the teen walking home and tried to lure her in his car with food and alcohol, according to poli??https://t.co/TWEtP36kbW",1,True Anthem,,,
Alex Holden,2857000646,"Tacoma, WA",1/24/2023 19:16,@KerryLo35013420 @southtacoma Supposedly it puts iron in your food which is supposed to be good for you or something,0,Twitter for iPhone,,,
Clancy Moody,7.72909E+17,"Tacoma, WA",1/24/2023 19:11,@Stweety_Todd @LakotaMan1 Somalia. A small impoverished nation that's had 40 years of drought and food insecurity..??https://t.co/LwofonTfQG,0,Twitter for Android,,,
?��?��?��?�� ?��?��,52104028,"Lakewood, WA",1/24/2023 18:38,"GOP; ""We're agin' it! Them babies gots ta git their daily lead supplemint, consarnit!""
#IfItWasGoodEnoughForUs
https://t.co/dkbH1uLZmU",0,Twitter for Android,,,
?? Christopher Means ?�� GDC 2023 ??,242913785,"Tacoma, WA",1/24/2023 18:15,"@CaseyExplosion Also, Louisiana has the best food in the states and I will fight anyone to the death about it",0,Twitter Web App,,,
Clancy Moody,7.72909E+17,"Tacoma, WA",1/24/2023 17:17,@lordwhorfin @iamoutofideas12 @Jfhil Cooking food is literally the biggest separator of us and the wild Apes.,0,Twitter for Android,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/24/2023 17:03,EFN has Starfruit being distributed to our partner sites this week! �?Partner site information can be found on our??https://t.co/2iquG3Klkk,0,Loomly,,,
Scott Nelson,2579187122,Tacoma WA,1/24/2023 17:00,An ongoing narrative for Russia is that they must expand their borders to protect their ?�homeland?? using adjacent??https://t.co/ygqK67onzS,0,Twitter for iPhone,,,
Ryan Anderson,294929412,"Tacoma, WA",1/24/2023 16:55,@steinkobbe @DjMirnum @MelonieMac Yep. Absolutely fuming at the horror show that is that cookery. Shame on you for mistreating food.,0,Twitter for Android,,,
Routed,461796585,Fife ,1/24/2023 7:20,"@JeremyVineOn5 Not all on food banks have that issue. But definitely some do, and he has a point",0,Twitter Web App,,,
Kamau Mwaura,1.55958E+18,"Tacoma, WA",1/24/2023 6:34,"America if you think you suffered from Biden?�s policy, that nothing compared to what @SpeakerMcCarthy is about to d??https://t.co/mHd1VmeH9o",0,Twitter for iPhone,,,
lucille balldontlie ?�🏼‍�?�?21998156,HILLTOP TACOMA,1/24/2023 4:33,@xjennersonx I cannot believe there?�s an actual food you like ?��?��,0,Twitter for iPhone,,,,
Snackattack,517306063,"Tacoma, Washington",1/24/2023 4:16,"@dmoongirl This sounds about right.

Other than, you have 2 vague food items and you didn't put tacos on Tuesday? Smh.",0,Twitter for Android,,,
cory,1.27849E+18,"Tacoma, WA",1/24/2023 3:13,@johngoesrawrr @MyInternetCrush help me in trapped in the warehouse i?�ve been here for 27 days i can?�t escape the f??https://t.co/DqiJLvehJ9,0,Twitter for iPhone,,,
~HiddenxxMist~,3621576258,"Tacoma, WA",1/24/2023 1:53,"For some odd reason, breakfast food tastes way better later on in the day",0,Twitter for iPhone,,,
Matsuei (Maxi ?�Emme??,1.59919E+18,"Tacoma, WA",1/24/2023 0:54,@RBReich Forced births in a country which refuses to provide more than the bare minimum and wants to control snap b??https://t.co/CeMbBFHn5G,0,Twitter for iPhone,,,
Big Bob ?��,292570983,"tacoma,wa",1/24/2023 0:50,@greg16676935420 Food,0,Twitter for iPhone,,,
Tempa,8.70433E+17,"Seattle, WA",1/23/2023 23:45,Big food wants you to keep eating so they keep making money. Ever notice how you eat &amp; then you have to keep eating??https://t.co/2Vgh9ZxLWg,8,Twitter for iPhone,,,
Paulie,1.32172E+18,Tacoma WA ,1/23/2023 23:09,@SiKImagery I was in my truck. With plenty of fuel and some food and water. I got lucky. I drove up and back cuz I??https://t.co/cQWVnNmROz,0,Twitter for iPhone,,,
Left Handed Libertarian,1.45113E+18,"Tacoma, WA",1/23/2023 22:56,@fox13seattle Waste of money and food. So dumb.,0,Twitter for Android,,,
Professional Noun,1.58599E+18,"Lakewood, WA",1/23/2023 22:39,"@Alexzoin @dttpeople @seanfeucht Anyway I don?�t see me swaying you, or you me, but just food for thought.",0,Twitter for iPhone,,,
South Sound Magazine,28622607,"Tacoma, WA 98402",1/23/2023 22:06,"@buyfullycharged makes 100 percent plant-based dessert snacks free of the 12 most common food allergens.
https://t.co/7qPT46Jlwx",0,TargetingS,,,
Gal Fieri,124077801,"Tacoma, WA",1/23/2023 21:14,@tjforms @kodyfrom5to7 The fish are friends not food guys???,0,Twitter for iPhone,,,
?��Cornan Cobinson?��,8.51989E+17,"Tacoma, WA",1/23/2023 19:42,"she's gone from free-feeding dry food to medicated wet food in the morning and at night, and her rage at being unab??https://t.co/HKS0CpDfbu",0,Twitter Web App,,,
Steve Melius,217231234,"Tacoma, WA",1/23/2023 17:57,"@Lukewearechange Like any other addiction, but food addiction has been normalized to the point most people don't ev??https://t.co/ulecYx4581",0,Twitter Web App,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/23/2023 17:41,"Thank you to Phi Beta Sigma Fraternity, Inc., Sigma Zeta Sigma Chapter who volunteered at EFN this past weekend. Co??https://t.co/iXze6gGT0f",0,Loomly,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/23/2023 17:03,"Monday blues will not get us today! Food Distribution is starting strong this week. 

#emergencyfoodnetwork #efn??https://t.co/l865EGV2kU",0,Loomly,,,
Steven Johnson,21605324,"Tacoma, WA",1/23/2023 17:01,Convenience Stores Finding Success with Restaurant Marketing Techniques #FoodSales #Packaging #Beverages #Snacks??https://t.co/7utwGY0FGS,1,Twitter Web App,,,
Professional Noun,1.58599E+18,"Lakewood, WA",1/23/2023 16:45,@adam_kuala @Iraqveteran8888 That stuff (farmed salmon)is poison. We can?�t export it to most counties that regulate??https://t.co/TEHWWJUKLi,0,Twitter for iPhone,,,
Nourish Pierce Co.,264301167,"Tacoma, WA",1/23/2023 16:00,Special Shout Out To Cereal Guy! Sometimes it just feels good to help your neighbors. If you would like to voluntee??https://t.co/AfVfAasCru,0,Hootsuite Inc.,,,
Auntie Anne ?��,3279567559,"Tacoma, WA",1/23/2023 15:46,"y?�all lettin bitches who serve food at Red Robin, do your taxes.. gon be in mf prison by March 1st ?��?��",0,Twitter for iPhone,,,
Nourish Pierce Co.,264301167,"Tacoma, WA",1/23/2023 15:01,"Get ready to see the changes coming at Graham/South Hill Food Bank! We are working hard to get everything cleaned,??https://t.co/KMLEyIhLTD",0,Hootsuite Inc.,,,
A Girl U Should Know,1.02877E+18,"Tacoma, WA USA",1/23/2023 14:47,"?�� 19/365 Oliver loves food, but gets worried even when we leave while they are eating, so desperate for attention.??https://t.co/4zRqrnkb62",0,Tumblr,,,
A Girl U Should Know,1.02877E+18,"Tacoma, WA USA",1/23/2023 14:47,"19/365 
Oliver loves food, but gets worried even when we leave while they are eating, so desperate for attention.??https://t.co/RShrbHurFL",0,Twitter Web App,,,
Professional Noun,1.58599E+18,"Lakewood, WA",1/23/2023 14:44,@pulte It is definitely child care and food.,0,Twitter for iPhone,,,
Andrew Lang ?��,1.59781E+18,"Tacoma, WA",1/23/2023 14:00,"We've all been there ??a ticking clock, a car revving its engine, a dog barking for food.

We don't have to pick fi??https://t.co/KOkCTPMTTE",0,Typeshare.co,,,
The Planet Avenue,1.38512E+18," Federal Way, WA 98023",1/23/2023 14:00,"Sometimes smell or taste alone does not indicate that your food has gone bad or is expired. 

Read more:??https://t.co/SKgMT7Lfv7",0,TweetDeck,,,
la,87372220,Tacoma,1/23/2023 5:19,"Car dealerships, any fast food spots. https://t.co/CME02eZMHa",0,Twitter for iPhone,,,
Snackattack,517306063,"Tacoma, Washington",1/23/2023 2:51,"@Shay26994129 It's the epitome of 'all publicity is good publicity' but in 2023, you can literally have someone jus??https://t.co/xsWMn3ESvy",0,Twitter for Android,,,
Snackattack,517306063,"Tacoma, Washington",1/23/2023 0:45,"@Shay26994129 I'm pretty sure people intentionally make the most horrific food because they know it'll go viral.

I??https://t.co/6hBtDCvqi3",0,Twitter for Android,,,
organic panic,1.06096E+18,"Tacoma, WA",1/22/2023 23:24,"@Lurrdog Agreed. 
When food stamps were paper tickets, it was humiliating to use them. I talked to people who didn?��?https://t.co/mmCGyXOPm6",0,Twitter Web App,,,
Clancy Moody,7.72909E+17,"Tacoma, WA",1/22/2023 21:29,@MikePerryavatar I had a connex of HVAC crap and another connex full of half rotten food... I was the blackmarket..??https://t.co/CWNfiZVfPN,0,Twitter for Android,,,
THEE NW Magpie (Kerrygold Consumer For Years),470351587,"Tacoma, WA",1/22/2023 21:10,"@BrandonLBradfor Actually, I think it should be a three-year mandatory service period, but with the following stipu??https://t.co/kE2rSATiUb",0,Twitter Web App,,,
Nourish Pierce Co.,264301167,"Tacoma, WA",1/22/2023 21:00,Nourish Pierce County Food Banks are a proud part of our community. If You have an event we should be at; PLEASE le??https://t.co/26G5BY28sh,0,Hootsuite Inc.,,,
SWANKS,25721485,"Tacoma, WA",1/22/2023 20:10,"HALF YALL NOT EVEN EATING REAL FOOD, FUK YOUR OPINION.  B4 WE DISCUSS ANYTHING WHERE DA FUQ U SHOP @",0,Twitter for iPhone,,,
organic panic,1.06096E+18,"Tacoma, WA",1/22/2023 19:58,@Lurrdog It also stigmatizes them by forcing them to sort out their food at the register with everybody watching and judging them.,0,Twitter Web App,,,
Gorilla Librarian,14194204,"Tacoma, WA",1/22/2023 19:30,@MarkACollett Here's a film taken around the same time of 1200 poor people receiving food assistance in Shoreditch.??https://t.co/qtajeI4f5w,7,Twitter for Android,,,
Nourish Pierce Co.,264301167,"Tacoma, WA",1/22/2023 18:00,"As food fads entered the 1980's, the need in our community for food banks expanded. The mission of Nourish remained??https://t.co/CHCo6ud0LY",0,Hootsuite Inc.,,,
Deb Lara,1661280607,"Tacoma, WA, USA",1/22/2023 17:25,Yeah #blueberries are a #superfood but collect on the #micronutrients slammed into 5 more berries: https://t.co/ukgYamN8RL,0,EdgeTheory,,,
Noha,9.468E+17,"Tacoma, WA",1/22/2023 15:01,@runsinthehalls Y'all understood the assignment before there was even an assignment! I feel like I have a photo of??https://t.co/Yd5SsmieUe,0,Twitter for Android,,,
Susan Gay,3164743642,Fife,1/22/2023 14:45,Behold the new pet food bowls ordered on Friday. Not sure how enamoured the gruesome twosome will be eating their F??https://t.co/rjO1sDXbmJ,0,Twitter for Android,,,
Bruce Henderson,285298870,Fife,1/22/2023 14:33,"Dear @OddboxLDN 
Can you please advise me how your product is FIGHTING food waste?
Increased packaging via post see??https://t.co/McqOs4bNE0",0,Twitter Web App,,,
Morag ?��,26750313,Fife ,1/22/2023 10:34,@mazmcm @macfloyd53 Oh stunning Bordeaux and all that food. Hope you?�re over yesterday?�s disappointment. Ulster will have helped.,0,Twitter for iPhone,,,
Tacoma Monkey,8.2118E+17,"Tacoma, WA",1/22/2023 8:08,Taking a mini food break be back soon #monkeyshines2023,0,Twitter for iPhone,,,
TheJoeMei,1.0434E+18,"Tacoma, WA",1/22/2023 7:56,"@ADHD_93 ?�🤨�?when this is one of the least sus things you?�ve made 

You actually made food instead of mega star ber??https://t.co/Mk6cSsmN0d",0,Twitter for iPhone,,,
King for Every Day,1.59527E+18,"Tacoma, WA",1/22/2023 7:21,@aPrincessesdad As  a marriage counselor I strongly encourage you to set boundaries from day one and hold them.??https://t.co/FFcy8QKA57,0,Twitter for iPhone,,,
"Larry Thompson ""Cranky Old Dude"" Vote Blue",49177452,"University Place, WA",1/22/2023 6:37,"@Healthyfairy86 Tried to watch both football games. 
Fell asleep. Food Coma.
What you do?",0,Twitter Web App,,,
Goblin Colonel,1.00426E+18,"Tacoma, WA",1/22/2023 6:18,@hudlion Tolerance/stomach acid and food ratio,0,Twitter for Android,,,
Robert Geyer,2894517109,Tacoma,1/22/2023 4:28,"@ashleymichalsk2 @MaryGrabar @BillyHeathFOX5 @Atlanta_Police @FOX5Atlanta Hillarious, deprived food, denied visitor??https://t.co/T8voxlc4wK",0,Twitter for Android,,,
BONER JAMS ??3,127705072,"Tacoma, WA",1/22/2023 4:16,"@SkullCrxsher @tailsmaster1 He has nice hands, I can get behind it. His food gives me diarrhea though.",0,Twitter for iPhone,,,
gzrheefam,8.8066E+17,"Tacoma, WA",1/22/2023 4:10,@REVERSALx7 Short answer not really but as you get hungrier the food can taste a bit betterLOL,0,Twitter for iPhone,,,
Mr. Thanksgiving,7.20076E+17,"Tacoma, WA",1/22/2023 2:03,"@LivFaustDieJung 75% of NY Italian spots are hot trash. I'm not going to O.G., but we gotta stop acting like New Yo??https://t.co/SRgnahlFZt",0,Twitter for Android,,,
DaveTheTech,2158066826,"New Tristram, Sanctuary",1/22/2023 2:02,We had lots of fun playing mini golf ?�️ at @towerlanes in #Tacoma and had some really good food! The fries are a mu??https://t.co/GlTGclvONu,0,Instagram,"{'type': 'Point', 'coordinates': [-122.52214108, 47.25652319]}",,
Mason,9.55303E+17,"Tacoma, WA",1/22/2023 1:08,Ya?�ll remember the huge issue with palm oil and how it destroys rainforests and we known that since like 2005? Yeah??https://t.co/jWIjgy3RK0,0,Twitter for iPhone,,,
toni,1.3933E+18,"Tacoma, WA",1/22/2023 1:07,Starting to get sick of sea food,0,Twitter for iPhone,,,
Mitch,86403774,"Tacoma, WA",1/22/2023 0:48,Almeida playing with his food,0,Twitter for iPhone,,,
Schlemiellionaire,270592010,"Tacoma, WA",1/22/2023 0:47,@WarRocketAjaxJr @Popeyes Err you will think about food less if you working out. Something like that,0,Twitter for iPhone,,,
Schlemiellionaire,270592010,"Tacoma, WA",1/22/2023 0:47,"@WarRocketAjaxJr @Popeyes If you always working out, you?�ll be in a better mood most of the time and won?�t think ab??https://t.co/4whQ5I0ud0",0,Twitter for iPhone,,,
Mike Healy,1363675602,"Tacoma, WA",1/22/2023 0:34,"@English_Channel God, in mocking nasal-tone: ""'Fry it in hot oil'...that's just plain wrong!...I suppose you want i??https://t.co/g7fpLNFia9",0,Twitter Web App,,,
?��BRETT MCGOWAN WRITES ABOUT BANSHEES?��,8.36331E+17,"Tacoma, WA",1/22/2023 0:29,What a waste of good food https://t.co/tEnUS4gqIQ,0,Twitter Web App,,,
Sara,5029141,"Tacoma, WA",1/21/2023 23:54,"@aliciainedmonds Neither discontinued nor unavailable, but I was obsessed with the can of spray cheese as a kid. An??https://t.co/e2fZsrDg6R",0,Twitter for Android,,,
Solomon Wyatt,4753946594,Tacoma Washington,1/21/2023 23:06,@thomasrowswell @gwyattII @garylwyatt @Lakers ?�� Man I was getting food &amp; souvenirs when that happened. They told me &amp; I was hot!!! ?��?��?��,0,Twitter Web App,,,
Joe,9.94388E+17,"Tacoma, WA",1/21/2023 22:58,"@ExistentialEnso So I?�m kind of a true dem when it comes to voting, but I?�d probably vote anyone who promised to pu??https://t.co/AJklm5DEza",1,Twitter for iPhone,,,
Aperising ?��??,8.40698E+17,"Tacoma, WA",1/21/2023 21:55,@JamieO123 @Wangenstein @bigbuckeye937 @rankbrite @caitoz Before the US secured the global oceans with our Navy all??https://t.co/ORRAf8Gu84,0,Twitter for iPhone,,,
Ottersnax,8.04936E+17,"Tacoma, WA",1/21/2023 21:41,@socialiststeve6 The food here really sucks. I can't think of another country in the world that has worse food and??https://t.co/gK7In0FYki,0,Twitter for Android,,,
Dani,1.32079E+18,PNW︲Nisqually/Puyallup lands,1/21/2023 21:24,"My friend, Crow, the cat food fiend ?�� https://t.co/hhzOLkdxhw",0,Twitter for Android,,,
Mike Healy,1363675602,"Tacoma, WA",1/21/2023 20:46,"@Joe_A_Blevins Bray-zheer"" is apparently how it's pronounced. I always thought it meant some kind of grill, but it??https://t.co/JsdszgQDPI",0,Twitter Web App,,,
MJM?�️?��?��,1189907444,"Tacoma, WA",1/21/2023 19:52,@coffee_anytime Enjoy your cat food.,0,Twitter for iPhone,,,
Tacoma Stars,2724284533,"Tacoma, Washington, USA",1/21/2023 19:37,"39 goals = $3900 = 19,500 meals.  The Tacoma Stars and Sound Credit Union are helping Food Lifeline to feed people??https://t.co/cpBNlF2dyl",1,Twitter for Android,,,
Mister Eric,1.43429E+18,"Tacoma, WA",1/21/2023 19:34,"Sure. But also in preparing food, doing laundry, and cleaning. https://t.co/hnzcSsqLef",0,Twitter Web App,,,
biscotti thottie,39158519,"Tacoma, WA",1/21/2023 19:21,2 frozen pizzas and a bag of dog food $60 ?��,0,Twitter for iPhone,,,
Emerald Queen Casino,95681541,"Tacoma, WA",1/21/2023 18:27,"Be a part of the playoff action at the EQC! We'll have the full game day experience today and Sunday, with food &amp; b??https://t.co/GDl85gzjIA",1,Sprout Social,,,
Dustin,9.53328E+17,"Tacoma, WA",1/21/2023 18:16,"@10000000bees If there is one country on this earth that has no room to talk about American food, it's the UK. Thei??https://t.co/GYE1oyvPmh",0,Twitter Web App,,,
David Larson,159328480,"Tacoma, WA",1/21/2023 18:16,@PatStaresAt Seasoning your food is outlawed by the queen. What this man did in the video could get you 15 to 25 years in prison.,0,Twitter for Android,,,
Nourish Pierce Co.,264301167,"Tacoma, WA",1/21/2023 18:00,"As food fads entered the 1980's, the need in our community for food banks expanded. The mission of Nourish remained??https://t.co/fSDGUarz3G",0,Hootsuite Inc.,,,
Michelle Flamm,264010343,"Seattle, WA",1/21/2023 17:57,@gardening_sucks For me: I was under paid so the food and not spending money on cleaning was a plus plus I had my o??https://t.co/dqtSLY1cCy,0,Twitter for Android,,,
Aperising ?��??,8.40698E+17,"Tacoma, WA",1/21/2023 17:54,@JamieO123 @Wangenstein @bigbuckeye937 @rankbrite @caitoz China is also undergoing demographic collapse they?�re los??https://t.co/VtL2KmeECZ,0,Twitter for iPhone,,,
Steven Johnson,21605324,"Tacoma, WA",1/21/2023 17:51,C-Stores are Food Sales Daypart Disruptors #FoodSales #BakerySales #ProduceSales #BeverageSales #Beer #Wine??https://t.co/rOzS47HZw4,0,Twitter Web App,,,
Dice of Thunder Podcast,1.49448E+18,"Tacoma, WA",1/21/2023 17:34,@MoseyDm An Applebee's restaurant. Smells great until you've been to a nicer restaurant and eaten better food.,0,Twitter for Android,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/21/2023 17:01,Creating solutions to your hunger. Fruit is on the way to our partner sites to aid our neighbors in need. Partner s??https://t.co/1isqXTpl7y,0,Loomly,,,
Kizzume,19818113,"Tacoma, WA",1/21/2023 16:51,"@JimJesus When I've passed through areas that have had them I've tried them, and they're not bad.  I remember them??https://t.co/DSwc3sgdtf",0,Twitter Web App,,,
Knox Overstreet,1328410381,"Tacoma, WA",1/21/2023 14:58,@JustInChirps I've never ordered '5 stars' or 'level 5' at any Thai food joint for that exact reason.,0,Twitter for Android,,,
LFC Seattle,69335063,Seattle/Tacoma,1/21/2023 14:54,"@soundr5 Same thing here with the cat food. I asked her, she?�s not inclined to offer an opinion. ?��?�♂�?,0,Twitter for iPhone,
?drēă Young,173665349,253/208/541/503/208/425/253,2023-01-21 13:20:26,@MarkC_Radio @newsradionw I had to always pay for my food handlers card and my liquor serving cards - I don't remem??https://t.co/Yv6mUSIEwS,0,Twitter for Android,
SpaceHusky ?��️‍�?2328418718,Denver"," CO""",1/21/2023 12:48,"@Helvetistani @tvarad @robbezdjian @jcj - Nestlé world's largest food and beverage multinational
- Rolex &amp; Swatch W??https://t.co/Mleu1oYe7f",0,Twitter for Android
Tacoma News Tribune,8983922,"Tacoma, WA",1/21/2023 10:10,Get one step closer to sunny beaches with this simple shrimp taco recipe.  https://t.co/uaqaeTz6QU,0,True Anthem,,,
THEE NW Magpie (Kerrygold Consumer For Years),470351587,"Tacoma, WA",1/21/2023 9:41,"@DirtScienceRx @MeaCulpa4444 @brat2381 I'd missed the bit about frozen food, but you're absolutely right.  Fresh ve??https://t.co/2fQNnsuYa6",0,Twitter Web App,,,
